city,newcity1,newcountry1
burns lake (canada),burns lake,canada
burnside,burnside,
burnsville,burnsville,
burnt hills,burnt hills,
burnt ranch,burnt ranch,
burr oak,burr oak,
burr ridge,burr ridge,
burrton,burrton,
burry port (uk/wales),burry port,uk
bursa (turkey),bursa,turkey
burslem&#44 staffordshire (uk/england),burslem44 staffordshire,uk
burt,burt,
burton,burton,
burton on trent  (staffordshire) (uk/england),burton on trent,uk
burton on trent (uk/england),burton on trent,uk
burton-in-kendal (uk/england),burtoninkendal,uk
burtons bridge,burtons bridge,
burtonsville,burtonsville,
burwell,burwell,
bury st edmunds,bury st edmunds,
bury st edmunds (uk/england),bury st edmunds,uk
bury st. edmunds (uk/england),bury st edmunds,uk
busan (south korea),busan,south africa
busby,busby,
busby (canada),busby,canada
bush,bush,
bushkill,bushkill,
bushnell,bushnell,
busselton (australia),busselton,australia
butler,butler,
butong&#44 taal&#44 batangas (philippines),butong44 taal44 batangas,philippines
butte,butte,
butte &amp; bozeman (between; enroute),butte amp bozeman,
butte (approx 40 miles s. of&#44 on nb interstate 15),butte,
butte falls,butte falls,
butte meadows (near),butte meadows,near
butterwick (uk/england),butterwick,uk
buttonwillow,buttonwillow,
buxton,buxton,
buxton (uk/england),buxton,uk
buzzards bay,buzzards bay,
byblos (lebanon),byblos,
byhaila,byhaila,
byhalia,byhalia,
byram,byram,
byron,byron,
byron bay (australia),byron bay,australia
byron center,byron center,
byron center/dorr,byron centerdorr,
c&quot;an picafort (majorca) (spain),cquotan picafort,spain
ca (interstate 40),ca,
ca&ccedil;ador (brazil),caccedilador,brazil
caarthage,caarthage,
caballo,caballo,
cabazon,cabazon,
cabin creek,cabin creek,
cabo san lucas (mexico),cabo san lucas,mexico
cabool,cabool,
caboolture (australia),caboolture,australia
cabot,cabot,
cabot strait (near dingwall&#44 on fishing boat) (canada),cabot strait,canada
cabot/lonoke,cabotlonoke,
cachuma lake,cachuma lake,
cactus flat,cactus flat,
cactus flats,cactus flats,
caddo mills,caddo mills,
cadillac,cadillac,
cadiz,cadiz,
cadiz-wallonia area,cadizwallonia area,
cadott,cadott,
caersws (uk/wales),caersws,uk
cagayan de oro (philippines),cagayan de oro,philippines
cagayan de oro city (philippines),cagayan de oro city,philippines
cahas national park (ecuador),cahas national park,ecuador
cahokia,cahokia,
cahokia/granite city,cahokiagranite city,
caicara (venezuela),caicara,venezuela
caimanes (chile),caimanes,chile
cairns (australia),cairns,australia
cairns (qld&#44 australia),cairns,qld44 australia
cairo,cairo,
cajah&#39s mountain,cajah39s mountain,
cakovec (croatia),cakovec,croatia
cala gonone (sardaigne) (italy),cala gonone,italy
calabasas,calabasas,
calabash,calabash,
caladon (canada),caladon,canada
calahonda (spain),calahonda,spain
calais,calais,
calamine,calamine,
calarca (colombia),calarca,colombia
calaveras big trees,calaveras big trees,
calcutta,calcutta,
calcutta (india),calcutta,india
calcutta (kolkata) (india),calcutta,india
caldicot (uk/wales),caldicot,uk
caldwell,caldwell,
caldwell (approx 40 miles nw),caldwell,approx 40 miles nw
caldwell (far west of&#44 towards oregon),caldwell,far west of44 towards oregon
caledon (canada),caledon,canada
caledon (from brampton) (canada),caledon,from brampton canada
caledon/orangeville (canada),caledonorangeville,canada
caledonia,caledonia,
caledonia (canada),caledonia,canada
caledonia county,caledonia county,
calera,calera,
calera (out-skirts),calera,outskirts
calera (outskirts of),calera,outskirts of
calexico,calexico,
calgary,calgary,
calgary (55km outside) (canada),calgary,55km outside canada
calgary (calgary),calgary,calgary
calgary (canada),calgary,canada
calgary (east of) (canada),calgary,east of canada
calgary (ne of) (canada),calgary,ne of canada
calgary (west of) (canada),calgary,west of canada
calgary and black diamond (between) (canada),calgary and black diamond,canada
calhan,calhan,
calhoun,calhoun,
calhoun (north of),calhoun,north of
cali,cali,
cali (colombia s.a.),cali,colombia
cali (colombia),cali,colombia
cali-buga (colombia),calibuga,colombia
calicut (india),calicut,india
california,california,
california (above&#44 northern part of),california,us
california (central part),california,
california (entire west coast),california,
california (rte. 40),california,us
california (rural),california,
california city,california city,
california city (east of),california city,east of
california desert,california desert,
california desert (interstate 8),california desert,
california desert/laughlin nevada,california desertlaughlin nevada,
california hot springs,california hot springs,
california hotsprings,california hotsprings,
california valley,california valley,
california valley (cattle country&#44 not too distant airbase),california valley,cattle country44 not too distant airbase
caliham,caliham,
calimesa,calimesa,
calion,calion,
calipatria,calipatria,
caliphon,caliphon,
calistoga,calistoga,
calistoga (2 miles outside),calistoga,2 miles outside
calistoga (7 miles outside of),calistoga,7 miles outside of
calistoga (knights valley),calistoga,knights valley
callahan,callahan,
callahan county (cross plains in rural area),callahan county,
callands,callands,
callaway,callaway,
callicoon,callicoon,
calmar (canada),calmar,canada
calne&#44 wiltshire (uk/england),calne44 wiltshire,uk
calnevari  (mojave desert),calnevari,
caloundra (australia),caloundra,australia
calumet,calumet,
calumet city,calumet city,
calumet city (just south of chicago&#44ill)&#44 ill,calumet city,us
calvert,calvert,
calypso,calypso,
cam rahn bay (viet nam),cam rahn bay,vietnam
camacha (portugal),camacha,portugal
camanche,camanche,
camano island,camano island,
camarillo,camarillo,
camarillo (rural),camarillo,rural
camas,camas,
camberley (uk/england),camberley,uk
camborne (uk/england),camborne,uk
cambria,cambria,
cambria/san luis obispo county,cambriasan luis obispo county,
cambridge,cambridge,
cambridge (canada),cambridge,canada
cambridge (galt) (canada),cambridge,galt canada
cambridge (uk/england),cambridge,uk
cambridge city,cambridge city,
cambridge narrows (canada),cambridge narrows,canada
cambridge springs,cambridge springs,
cambridgeshire (uk/england),cambridgeshire,uk
camden,camden,
camden (penobscot bay),camden,penobscot bay
camden point,camden point,
camdenton,camdenton,
camelon (uk/scotland),camelon,uk
cameron,cameron,
cameron (canada),cameron,canada
cameron (near&#44 on highway),cameron,near44 on highway
cameron park,cameron park,
camillus,camillus,
camp albert pike,camp albert pike,
camp atturburry,camp atturburry,
camp creek,camp creek,
camp hansen (okinawa&#44 japan),camp hansen,japan
camp hill,camp hill,
camp lejeune/jacksonville,camp lejeunejacksonville,
camp mccoy (enroute to),camp mccoy,
camp mckall,camp mckall,
camp pendelton,camp pendelton,
camp pendelton (oceanside),camp pendelton,
camp pendleton,camp pendleton,
camp ripley (rural&#44 just west of),camp ripley,
camp seph mack,camp seph mack,
camp springs,camp springs,
camp taqaddum (iraq),camp taqaddum,iraq
camp taqqadum (iraq),camp taqqadum,iraq
camp verde,camp verde,
camp verde (south of),camp verde,south of
campbell,campbell,
campbell hall,campbell hall,
campbell river (canada),campbell river,canada
campbell river (vancouver island) (canada),campbell river,vancouver island canada
campbellsport,campbellsport,
campbellsville,campbellsville,
campbelltown (australia),campbelltown,australia
campbelltown-sydney (australia),campbelltownsydney,australia
campground kendallville,campground kendallville,
campinas (brazil),campinas,brazil
campinas/sao paulo (brazil),campinassao paulo,brazil
campo,campo,
campos (brazil),campos,brazil
campos altos (brazil),campos altos,brazil
campos dos goytacazes (brazil),campos dos goytacazes,brazil
campton,campton,
campville,campville,
campwood,campwood,
camrose (1.5 km north) (canada),camrose,
camrose (canada),camrose,canada
can&#39t say,can39t say,
canaan,canaan,
canaan valley,canaan valley,
canada,canada,
canada (various locations),canada,
canadensis,canadensis,
canadian,canadian,
canajoharie,canajoharie,
canal fulton,canal fulton,
canal winchester,canal winchester,
canandaigua,canandaigua,
canastota,canastota,
canberra (australia),canberra,australia
canby,canby,
cancun (cancun),cancun,mexico
cancun (melia turquesa hotel) (mexico),cancun,mexico
cancun (mexico),cancun,mexico
cancun (playa del carmen) (2 hours south of),cancun,mexico
cancun (quintana roo) (mexico),cancun,mexico
cancun (south of) (mexico),cancun,mexico
cancun (yucatan&#44 mexico),cancun,mexico
candia,candia,
candle lake (canada),candle lake,canada
candler,candler,
cando (canada),cando,canada
candor,candor,
cane hill,cane hill,
caney,caney,
canfield,canfield,
canfield  (oh/pa border),canfield,oh
caniste,caniste,
canisteo,canisteo,
canmore (canada),canmore,canada
cannis city,cannis city,
cannock (uk/england),cannock,uk
cannon,cannon,
cannon afb,cannon afb,
cannon beach,cannon beach,
cannon falls,cannon falls,
canoga park,canoga park,
canon,canon,
canon afb,canon afb,
canon city,canon city,
canonsburg,canonsburg,
canouan (caranage bay resort) (grenadine islands),canouan,
canovanas (puerto rico),canovanas,puerto rico
canterberry,canterberry,
canterbury,canterbury,
canterbury (near)&#44 dover&#44 kent (uk/england),canterbury,near44 dover44 kent uk
canterbury (uk/england),canterbury,uk
cantoma,cantoma,
canton,canton,
canton township,canton township,
canton/plymouth,cantonplymouth,
cantonment,cantonment,
canvey island (uk/england),canvey island,uk
canvey island&#44 essex (uk/england),canvey island44 essex,uk
canyon,canyon,
canyon (outside of),canyon,outside of
canyon country,canyon country,
canyon lake,canyon lake,
canyonlands np,canyonlands np,
canyonville,canyonville,
cap d&#39ail (france),cap d39ail,france
cap pele/ port elgin area (canada),cap pele port elgin area,canada
capac,capac,
capalaba - brisbane (australia),capalaba brisbane,australia
cape breton (canada),cape breton,canada
cape canaveral,cape canaveral,
cape charles,cape charles,
cape cod,cape cod,
cape coral,cape coral,
cape elizabeth,cape elizabeth,
cape elizabeth (near; location unspecified by witness),cape elizabeth,near location unspecified by witness
cape fair,cape fair,
cape fear,cape fear,
cape girardeau,cape girardeau,
cape hatteras,cape hatteras,
cape kennedy (@ imax theatre 1),cape kennedy,
cape lookout,cape lookout,
cape lookout/tillamook,cape lookouttillamook,
cape may,cape may,
cape may county,cape may county,
cape may court house,cape may court house,
cape may courthouse,cape may courthouse,
cape meares,cape meares,
cape neddick,cape neddick,
cape rosier,cape rosier,
cape san blas,cape san blas,
cape town,cape town,
cape town (south africa),cape town,south africa
cape town harbour (south africa),cape town harbour,south africa
capetown (cpt) (south africa),capetown,south africa
capistrano beach,capistrano beach,
capitol heights,capitol heights,
capitol reef,capitol reef,
capitola,capitola,
capon bridge,capon bridge,
capricorn coast (australia),capricorn coast,australia
captain cook,captain cook,
captiva,captiva,
captiva island,captiva island,
caquas (puerto rico),caquas,puerto rico
caracas,caracas,
caracas (venezuela),caracas,venezuela
caracas&#44 d.f. (venezuela),caracas44 df,venezuela
caradon (uk/england),caradon,uk
caransebes (romania),caransebes,romania
carberry (south of) (canada),carberry,south of canada
carbon hill,carbon hill,
carbonado,carbonado,
carbondale,carbondale,
carbonear/hr grace (canada),carbonearhr grace,canada
carcross (canada),carcross,canada
cardiff,cardiff,
cardiff (jamaica),cardiff,jamaica
cardiff (near) (uk/wales),cardiff,near uk
cardiff (south wales) (uk/wales),cardiff,south wales uk
cardiff (uk/wales),cardiff,uk
cardiff (vale of glamorgan)(uk/wales),cardiff,vale of glamorganuk
cardiff-by-the-sea,cardiffbythesea,
cardigan (uk/wales),cardigan,uk
cardinal (canada),cardinal,canada
cardross (uk/scotland),cardross,uk
cardston (canada),cardston,canada
carefree,carefree,
caret,caret,
carey (15 miles east of; on hwy 20),carey,
careyes (mexico),careyes,mexico
caribbean (in a cruise) (mexico),caribbean,mexico
caribbean cruise,caribbean cruise,
caribbean sea,caribbean sea,
caribbean sea (between mexico and cuba),caribbean sea,mexico
caribbean sea (cruise boat) (150 mi. n of cozumel),caribbean sea,
caribbean sea (u.s. navy ship),caribbean sea,
caribbean sea (uss w.s. sims),caribbean sea,
caribbean sea (venezuela),caribbean sea,venezuela
caribou,caribou,
caribou (rural suburb of),caribou,rural suburb of
carizzo plains national mounument,carizzo plains national mounument,
carl junction,carl junction,
carlbad,carlbad,
carle place,carle place,
carleton (canada),carleton,canada
carleton place (canada),carleton place,canada
carlin,carlin,
carlinville,carlinville,
carlinville (from&#44 until almost carrollton),carlinville,from44 until almost carrollton
carlisle,carlisle,
carlisle (canada),carlisle,canada
carlisle (on interstate 76),carlisle,on interstate 76
carlisle (uk/england),carlisle,uk
carlisle cumbria (uk/england),carlisle cumbria,uk
carlos,carlos,
carlow (ireland),carlow,ireland
carlsbad,carlsbad,
carlsbad/leucaida,carlsbadleucaida,
carlsberg,carlsberg,
carlton,carlton,
carlyss,carlyss,
carmarthen (uk/wales),carmarthen,uk
carmarthen (wales),carmarthen,wales
carmarthenshire (uk/england),carmarthenshire,uk
carmarthenshire (uk/wales),carmarthenshire,uk
carmel,carmel,
carmel (i-49),carmel,i49
carmel valley,carmel valley,
carmel-by-the-sea,carmelbythesea,
carmen,carmen,
carmicahel,carmicahel,
carmichael,carmichael,
carmichaels,carmichaels,
carmine,carmine,
carnarvon gorge (australia),carnarvon gorge,australia
carnation,carnation,
carnation (on tolt river&#44 cascade mts.),carnation,on tolt river44 cascade mts
carnes,carnes,
carnesville,carnesville,
carney,carney,
carneys point,carneys point,
carnsville,carnsville,
caro,caro,
carol city,carol city,
carol stream,carol stream,
carolina,carolina,
